t,block_x,block_y,block_z,base_x,base_y,base_z,base_qw,base_qx,base_qy,base_qz,wrist_x,wrist_y,wrist_z,rsp_des,rsr_des,rsy_des,rel_des,rsp_now,rsr_now,rsy_now,rel_now
0.0020,0.45000,-0.15000,0.97796,-0.00010,-0.00001,1.02996,1.00000,-0.00001,0.00016,0.00031,0.23400,-0.20950,1.12498,-0.0000,0.0000,0.0000,0.0000,-0.0001,-0.0000,-0.0000,-0.0001
0.0040,0.45000,-0.15000,0.97788,-0.00028,-0.00001,1.02989,1.00000,-0.00004,0.00045,0.00091,0.23398,-0.20949,1.12491,-0.0000,0.0000,0.0000,0.0000,-0.0002,-0.0001,-0.0001,-0.0002
0.0060,0.45000,-0.15000,0.97776,-0.00055,-0.00003,1.02977,1.00000,-0.00007,0.00086,0.00174,0.23395,-0.20946,1.12477,-0.0000,0.0000,0.0000,0.0000,-0.0004,-0.0002,-0.0001,-0.0004
0.0080,0.45000,-0.15000,0.97761,-0.00090,-0.00005,1.02965,0.99999,-0.00013,0.00141,0.00285,0.23390,-0.20941,1.12456,-0.0000,0.0000,0.0000,0.0000,-0.0006,-0.0003,-0.0002,-0.0005
0.0100,0.45000,-0.15000,0.97741,-0.00133,-0.00008,1.02951,0.99999,-0.00019,0.00208,0.00419,0.23382,-0.20935,1.12428,-0.0000,0.0000,0.0000,0.0000,-0.0008,-0.0004,-0.0003,-0.0007
0.0120,0.45000,-0.15000,0.97718,-0.00184,-0.00011,1.02935,0.99998,-0.00026,0.00286,0.00572,0.23373,-0.20927,1.12394,-0.0000,0.0000,0.0000,0.0000,-0.0011,-0.0006,-0.0004,-0.0009
0.0140,0.45000,-0.15000,0.97690,-0.00240,-0.00015,1.02915,0.99997,-0.00034,0.00372,0.00742,0.23362,-0.20916,1.12354,-0.0000,0.0000,0.0000,0.0000,-0.0013,-0.0007,-0.0005,-0.0010
0.0160,0.45000,-0.15000,0.97668,-0.00301,-0.00018,1.02890,0.99995,-0.00042,0.00463,0.00924,0.23349,-0.20904,1.12307,-0.0000,0.0000,0.0000,0.0000,-0.0016,-0.0009,-0.0007,-0.0012
0.0180,0.45000,-0.15000,0.97651,-0.00365,-0.00021,1.02860,0.99992,-0.00048,0.00558,0.01117,0.23336,-0.20890,1.12253,-0.0000,0.0000,0.0000,0.0000,-0.0018,-0.0012,-0.0008,-0.0015
0.0200,0.45000,-0.15000,0.97638,-0.00430,-0.00024,1.02821,0.99989,-0.00054,0.00653,0.01317,0.23323,-0.20874,1.12192,-0.0000,0.0000,0.0000,0.0000,-0.0020,-0.0014,-0.0010,-0.0018
