mass_kg,delta_x,arm_kp_mult,trial_idx,rc,wall_seconds,success,reason,pelvis_z_min,pelvis_zN,base_xy_drift_max_cm,pitch_dev_max_deg,pitch_dev_integral_degs,yaw_dev_max_deg,leg_torque_peak_Nm,leg_torque_rms_norm_Nm,block_dx_cm,block_dy_cm,block_x0,block_xN,csv
10.0,0.25,1.0,2,0,29.756869077682495,1,"upright  pelvis_z_min=0.855  max_pitch_dev=5.4° max_yaw_dev=4.3° drift=6.0cm  block_moved=(+0.9,+12.1)cm",0.85506,0.88155,5.996481635092365,5.377303647170114,48.516636311200024,4.283575350860936,78.249,104.19690562005447,0.8620000000000017,12.139,0.3,0.30862,runs/bimanual_mass_sweep/trial_m10.000kg_t02.csv
20.0,0.25,1.0,0,0,29.80330729484558,1,"upright  pelvis_z_min=0.837  max_pitch_dev=4.5° max_yaw_dev=4.0° drift=8.3cm  block_moved=(-4.0,+14.9)cm",0.83723,0.88093,8.267793236408371,4.533142547141219,38.26212919803075,3.980637592986284,88.807,109.22355373301126,-3.961999999999999,14.857999999999999,0.3,0.26038,runs/bimanual_mass_heavy/trial_m20.000kg_t00.csv
20.0,0.25,1.0,1,0,29.797065496444702,1,"upright  pelvis_z_min=0.839  max_pitch_dev=4.9° max_yaw_dev=4.0° drift=7.6cm  block_moved=(-3.5,+14.5)cm",0.83862,0.88121,7.637865801387191,4.938370901465731,40.316654298686636,3.974370266657086,87.035,108.96702232263769,-3.5209999999999964,14.46,0.3,0.26479,runs/bimanual_mass_heavy/trial_m20.000kg_t01.csv
20.0,0.25,1.0,2,0,29.79981565475464,1,"upright  pelvis_z_min=0.841  max_pitch_dev=6.3° max_yaw_dev=3.6° drift=6.6cm  block_moved=(-0.7,+15.4)cm",0.84083,0.88234,6.637264044770255,6.292979465902919,53.53070838240274,3.5919093064250056,79.747,107.91557014784048,-0.6670000000000009,15.425,0.3,0.29333,runs/bimanual_mass_heavy/trial_m20.000kg_t02.csv
50.0,0.25,1.0,0,0,29.76474952697754,1,"upright  pelvis_z_min=0.815  max_pitch_dev=6.7° max_yaw_dev=3.1° drift=11.5cm  block_moved=(-7.7,+17.5)cm",0.81522,0.84682,11.527094516832937,6.713982989075308,70.73798743701796,3.1118091190731754,114.758,121.30040833462347,-7.679999999999998,17.532,0.3,0.2232,runs/bimanual_mass_heavy/trial_m50.000kg_t00.csv
50.0,0.25,1.0,1,0,29.759126901626587,1,"upright  pelvis_z_min=0.824  max_pitch_dev=3.6° max_yaw_dev=3.0° drift=9.6cm  block_moved=(-3.6,+15.6)cm",0.82385,0.85519,9.60652908182763,3.638384772934879,33.810018892175634,2.9890639268950814,98.863,114.99683826243422,-3.598000000000001,15.57,0.3,0.26402,runs/bimanual_mass_heavy/trial_m50.000kg_t01.csv
50.0,0.25,1.0,2,0,29.800464630126953,1,"upright  pelvis_z_min=0.822  max_pitch_dev=4.9° max_yaw_dev=3.2° drift=10.0cm  block_moved=(-5.9,+14.9)cm",0.8215,0.85389,9.975071528565596,4.855632322524183,47.058514678604865,3.2445370714869526,101.884,116.92212503463806,-5.947999999999998,14.932,0.3,0.24052,runs/bimanual_mass_heavy/trial_m50.000kg_t02.csv
100.0,0.25,1.0,0,0,29.924220323562622,0,robot fell (pelvis_z_min=0.573 < 0.65)  max_pitch_dev=45.9° max_yaw_dev=31.7° drift=33.3cm,0.57297,0.57297,33.25952232068284,45.90346192160594,177.68562217828057,31.69615767615432,274.989,153.08530373799135,-38.007999999999996,28.787000000000003,0.3,-0.08008,runs/bimanual_mass_heavy/trial_m100.000kg_t00.csv
100.0,0.25,1.0,1,0,29.798924922943115,0,robot fell (pelvis_z_min=0.072 < 0.65)  max_pitch_dev=10.3° max_yaw_dev=290.7° drift=5.0cm,0.07175,0.07234,5.031493813968175,10.263339783586957,164.99969129021676,290.7346796030245,128.611,48.090879024007435,-99.554,-19.891000000000002,0.3,-0.69554,runs/bimanual_mass_heavy/trial_m100.000kg_t01.csv
100.0,0.25,1.0,2,0,29.761397123336792,1,"upright  pelvis_z_min=0.822  max_pitch_dev=3.4° max_yaw_dev=2.8° drift=9.3cm  block_moved=(-3.6,+16.5)cm",0.82166,0.85265,9.320148711259922,3.3557464169226527,32.49339429193003,2.765007350518921,102.039,116.16484024462405,-3.63,16.506,0.3,0.2637,runs/bimanual_mass_heavy/trial_m100.000kg_t02.csv
