mass_kg,trial_idx,rc,wall_seconds,success,reason,pelvis_z_min,pelvis_zN,base_xy_drift_max_cm,pitch_dev_max_deg,pitch_dev_integral_degs,yaw_dev_max_deg,leg_torque_peak_Nm,leg_torque_rms_norm_Nm,block_dx_cm,block_dy_cm,block_x0,block_xN,csv
5.0,0,0,11.738962888717651,1,"upright  pelvis_z_min=0.870  max_pitch_dev=0.6° max_yaw_dev=1.1° drift=5.8cm  block_moved=(+0.2,+0.3)cm",0.87,0.87399,5.838926099892001,0.5651472204712373,2.3712808666175316,1.1173473593765344,79.371,111.39229387362008,0.15499999999999403,0.32300000000000106,0.52,0.52155,runs/mass_sweep_ext/trial_m5.000kg_t00.csv
5.0,1,0,11.747352123260498,1,"upright  pelvis_z_min=0.870  max_pitch_dev=1.0° max_yaw_dev=1.1° drift=5.8cm  block_moved=(+0.1,+0.3)cm",0.87013,0.87375,5.782378489860379,0.9773212328267746,2.964314079073941,1.0996241881854978,79.275,110.75565287603511,0.14899999999999913,0.3030000000000005,0.52,0.52149,runs/mass_sweep_ext/trial_m5.000kg_t01.csv
5.0,2,0,11.753045558929443,1,"upright  pelvis_z_min=0.870  max_pitch_dev=1.0° max_yaw_dev=1.4° drift=6.0cm  block_moved=(+0.1,+0.3)cm",0.86965,0.87354,5.989035648583167,0.9638588844589471,3.5423935751624804,1.3547479120411126,79.933,111.73316865315877,0.14499999999999513,0.31000000000000055,0.52,0.52145,runs/mass_sweep_ext/trial_m5.000kg_t02.csv
10.0,0,0,11.803834676742554,1,"upright  pelvis_z_min=0.871  max_pitch_dev=0.8° max_yaw_dev=1.0° drift=5.7cm  block_moved=(+0.1,+0.2)cm",0.87055,0.8744,5.687521164795785,0.8387198175369193,2.634792540626664,1.0326203763315505,78.338,110.62761075527679,0.07099999999999884,0.16600000000000087,0.52,0.52071,runs/mass_sweep_ext/trial_m10.000kg_t00.csv
10.0,1,0,11.738820552825928,1,"upright  pelvis_z_min=0.870  max_pitch_dev=0.6° max_yaw_dev=1.0° drift=5.7cm  block_moved=(+0.1,+0.2)cm",0.87011,0.87471,5.675084580867496,0.6219598081352924,2.5067500327784216,1.0264935322874962,79.234,110.64567430329049,0.07500000000000284,0.16499999999999987,0.52,0.52075,runs/mass_sweep_ext/trial_m10.000kg_t01.csv
10.0,2,0,11.74571967124939,1,"upright  pelvis_z_min=0.870  max_pitch_dev=0.7° max_yaw_dev=1.0° drift=5.5cm  block_moved=(+0.1,+0.2)cm",0.87034,0.87457,5.474187154272312,0.6611407163876155,2.628790871817001,0.9704211114872052,78.981,110.85030458007505,0.08000000000000229,0.16300000000000064,0.52,0.5208,runs/mass_sweep_ext/trial_m10.000kg_t02.csv
20.0,0,0,11.742911100387573,1,"upright  pelvis_z_min=0.871  max_pitch_dev=0.9° max_yaw_dev=1.0° drift=5.7cm  block_moved=(+0.0,+0.1)cm",0.87051,0.87458,5.739380889956686,0.8959826639861639,2.422523772928211,0.9813501456150888,78.802,110.23552481775546,0.036999999999998145,0.08400000000000074,0.52,0.52037,runs/mass_sweep_ext/trial_m20.000kg_t00.csv
20.0,1,0,11.7448890209198,1,"upright  pelvis_z_min=0.870  max_pitch_dev=0.7° max_yaw_dev=1.1° drift=5.9cm  block_moved=(+0.0,+0.1)cm",0.86982,0.87444,5.856450887696404,0.7200317461536478,2.4946411862370352,1.1417943994848017,79.463,111.46569409212445,0.039999999999995595,0.08800000000000058,0.52,0.5204,runs/mass_sweep_ext/trial_m20.000kg_t01.csv
20.0,2,0,11.745936393737793,1,"upright  pelvis_z_min=0.869  max_pitch_dev=1.2° max_yaw_dev=1.5° drift=5.7cm  block_moved=(+0.0,+0.1)cm",0.86931,0.87387,5.6717588101046745,1.2251535338903246,4.614315343484513,1.5083101576031872,80.107,113.24283270180665,0.036999999999998145,0.08500000000000035,0.52,0.52037,runs/mass_sweep_ext/trial_m20.000kg_t02.csv
50.0,0,0,11.786969661712646,1,"upright  pelvis_z_min=0.870  max_pitch_dev=0.7° max_yaw_dev=1.3° drift=5.9cm  block_moved=(+0.0,+0.0)cm",0.8698,0.87393,5.899359287244675,0.7207265378253869,2.822114500482584,1.3051246727157988,79.273,111.67531063119746,0.014999999999998348,0.03500000000000031,0.52,0.52015,runs/mass_sweep_ext/trial_m50.000kg_t00.csv
50.0,1,0,11.746870517730713,1,"upright  pelvis_z_min=0.870  max_pitch_dev=1.3° max_yaw_dev=0.9° drift=4.8cm  block_moved=(+0.0,+0.0)cm",0.87031,0.87371,4.7789339815486045,1.2748643575445424,4.374172089584974,0.8690889425614792,78.168,112.20662482296243,0.017999999999995797,0.040000000000001146,0.52,0.52018,runs/mass_sweep_ext/trial_m50.000kg_t01.csv
50.0,2,0,11.74372410774231,1,"upright  pelvis_z_min=0.871  max_pitch_dev=0.7° max_yaw_dev=0.9° drift=4.8cm  block_moved=(+0.0,+0.0)cm",0.87069,0.87417,4.776184774482662,0.6868606700243127,2.555082717327715,0.8557551155379528,78.35,111.54472804225037,0.019999999999997797,0.039000000000000146,0.52,0.5202,runs/mass_sweep_ext/trial_m50.000kg_t02.csv
