mass_kg,delta_x,arm_kp_mult,trial_idx,rc,wall_seconds,success,reason,pelvis_z_min,pelvis_zN,base_xy_drift_max_cm,pitch_dev_max_deg,pitch_dev_integral_degs,yaw_dev_max_deg,leg_torque_peak_Nm,leg_torque_rms_norm_Nm,block_dx_cm,block_dy_cm,block_x0,block_xN,csv
5.0,0.25,1.0,0,0,11.741727352142334,1,"upright  pelvis_z_min=0.870  max_pitch_dev=0.9° max_yaw_dev=1.1° drift=6.0cm  block_moved=(+0.2,+0.3)cm",0.87032,0.87297,5.995672105777633,0.8600790629976736,2.818517127691014,1.093846974756847,79.02,110.75928824882502,0.15300000000000313,0.3170000000000006,0.52,0.52153,runs/sweeps/kp_x1.0_m5/trial_m5.000kg_t00.csv
5.0,0.25,1.0,1,0,11.74042558670044,1,"upright  pelvis_z_min=0.869  max_pitch_dev=1.3° max_yaw_dev=1.5° drift=5.8cm  block_moved=(+0.2,+0.3)cm",0.86941,0.87232,5.780595990034246,1.3104858748585784,4.931128572207989,1.5461897652661882,79.708,113.76000048883492,0.15399999999999858,0.32300000000000106,0.52,0.52154,runs/sweeps/kp_x1.0_m5/trial_m5.000kg_t01.csv
5.0,0.25,1.0,2,0,11.795100450515747,1,"upright  pelvis_z_min=0.870  max_pitch_dev=0.9° max_yaw_dev=1.1° drift=5.9cm  block_moved=(+0.2,+0.3)cm",0.86995,0.87349,5.913987656395641,0.9300117935050842,2.6431490907797714,1.105825707448517,79.461,111.19777959351488,0.15899999999999803,0.32200000000000006,0.52,0.52159,runs/sweeps/kp_x1.0_m5/trial_m5.000kg_t02.csv
5.0,0.25,2.0,0,0,11.752034664154053,1,"upright  pelvis_z_min=0.870  max_pitch_dev=1.1° max_yaw_dev=1.1° drift=5.2cm  block_moved=(+0.2,+0.4)cm",0.87028,0.87401,5.222427979398089,1.0920809922569248,3.8777096340902535,1.0960693281215548,78.508,112.32177060975211,0.19200000000000328,0.359000000000001,0.52,0.52192,runs/sweeps/kp_x2.0_m5/trial_m5.000kg_t00.csv
5.0,0.25,2.0,1,0,11.80213975906372,1,"upright  pelvis_z_min=0.870  max_pitch_dev=0.8° max_yaw_dev=1.0° drift=5.5cm  block_moved=(+0.2,+0.3)cm",0.8704,0.87421,5.52926441762374,0.7747536412043914,3.0067186995383626,1.045409233940731,78.807,111.57243248724319,0.17099999999999893,0.33400000000000096,0.52,0.52171,runs/sweeps/kp_x2.0_m5/trial_m5.000kg_t01.csv
5.0,0.25,2.0,2,0,11.777832508087158,1,"upright  pelvis_z_min=0.870  max_pitch_dev=0.8° max_yaw_dev=1.0° drift=5.7cm  block_moved=(+0.2,+0.3)cm",0.8703,0.8744,5.671193525176159,0.8151416459287937,2.387306154886299,0.9835915161374373,78.886,110.79572187610977,0.17000000000000348,0.33200000000000035,0.52,0.5217,runs/sweeps/kp_x2.0_m5/trial_m5.000kg_t02.csv
5.0,0.25,4.0,0,0,11.747814178466797,1,"upright  pelvis_z_min=0.871  max_pitch_dev=1.1° max_yaw_dev=1.0° drift=5.5cm  block_moved=(+0.2,+0.3)cm",0.8705,0.87362,5.49157909894777,1.1194304910242412,3.1833866461424654,0.9812423017974226,78.77,111.46200971613683,0.18399999999999528,0.33400000000000096,0.52,0.52184,runs/sweeps/kp_x4.0_m5/trial_m5.000kg_t00.csv
5.0,0.25,4.0,1,0,11.779804229736328,1,"upright  pelvis_z_min=0.871  max_pitch_dev=1.3° max_yaw_dev=0.9° drift=5.6cm  block_moved=(+0.2,+0.3)cm",0.87062,0.87322,5.560353945568573,1.2564408157018754,2.7477802061543115,0.9036688361418719,78.229,111.17218186631074,0.17899999999999583,0.33400000000000096,0.52,0.52179,runs/sweeps/kp_x4.0_m5/trial_m5.000kg_t01.csv
5.0,0.25,4.0,2,0,11.74388599395752,1,"upright  pelvis_z_min=0.870  max_pitch_dev=1.4° max_yaw_dev=1.0° drift=5.8cm  block_moved=(+0.2,+0.3)cm",0.8703,0.87361,5.782651467968651,1.3963708048381989,2.6378852582863153,1.012695251201297,78.808,110.88834406623353,0.16899999999999693,0.315,0.52,0.52169,runs/sweeps/kp_x4.0_m5/trial_m5.000kg_t02.csv
5.0,0.25,8.0,0,0,11.749197721481323,1,"upright  pelvis_z_min=0.870  max_pitch_dev=1.8° max_yaw_dev=1.1° drift=6.1cm  block_moved=(+0.2,+0.3)cm",0.87002,0.87282,6.078384818354297,1.8442572338946164,3.152487291660652,1.0688778756745378,79.175,111.45638309608394,0.17399999999999638,0.3250000000000003,0.52,0.52174,runs/sweeps/kp_x8.0_m5/trial_m5.000kg_t00.csv
5.0,0.25,8.0,1,0,11.797316074371338,1,"upright  pelvis_z_min=0.870  max_pitch_dev=0.9° max_yaw_dev=1.0° drift=6.1cm  block_moved=(+0.2,+0.3)cm",0.86988,0.87384,6.10461538510003,0.8772044694219492,2.644343894264368,1.0198931380312288,79.702,111.24046876790231,0.17000000000000348,0.33299999999999996,0.52,0.5217,runs/sweeps/kp_x8.0_m5/trial_m5.000kg_t01.csv
5.0,0.25,8.0,2,0,11.7513427734375,1,"upright  pelvis_z_min=0.871  max_pitch_dev=1.1° max_yaw_dev=0.9° drift=5.2cm  block_moved=(+0.2,+0.3)cm",0.87056,0.87246,5.174615831151139,1.0918580632585755,3.915230874489624,0.8532740933482472,77.879,111.8392076523824,0.19099999999999673,0.3460000000000005,0.52,0.52191,runs/sweeps/kp_x8.0_m5/trial_m5.000kg_t02.csv
